Namespace(bs=48, fold=3, gpu=6, lr=5e-05, name='0817-fine')
~~~~~~~~~~~~ fold 3 ~~~~~~~~~~~~
raw train:68003 -- raw val:17000
train:68003 --- val:17000
load pre-trained done.....
epoch | train loss |  valid loss |  1JHC,   2JHC,   3JHC,   1JHN,   2JHN,   3JHN,   2JHH,   3JHH  |  log_mae  |  time 
 107  | -1.8635 | -1.6194 | -0.9446, -1.7036, -1.5463, -1.1254,-1.9591,-2.0036,-2.1269,-1.8850 | -1.6618 |  8 hr 05 min 
 108  | -1.8625 | -1.6216 | -0.9458, -1.7057, -1.5490, -1.1174,-1.9606,-2.0135,-2.1213,-1.8908 | -1.6630 |  8 hr 09 min 
 109  | -1.8622 | -1.6187 | -0.9394, -1.7064, -1.5465, -1.1351,-1.9564,-2.0101,-2.1166,-1.8922 | -1.6628 |  8 hr 14 min 
 110  | -1.8636 | -1.6223 | -0.9491, -1.7063, -1.5471, -1.1291,-1.9602,-2.0072,-2.1321,-1.8865 | -1.6647 |  8 hr 18 min 
 111  | -1.8635 | -1.6208 | -0.9467, -1.7043, -1.5465, -1.1317,-1.9601,-2.0105,-2.1198,-1.8913 | -1.6638 |  8 hr 23 min 
 112  | -1.8632 | -1.6216 | -0.9452, -1.7047, -1.5471, -1.1156,-1.9591,-2.0104,-2.1329,-1.8958 | -1.6638 |  8 hr 27 min 
 113  | -1.8626 | -1.6173 | -0.9283, -1.7059, -1.5501, -1.1046,-1.9612,-2.0132,-2.1302,-1.8951 | -1.6611 |  8 hr 32 min 
 114  | -1.8640 | -1.6216 | -0.9429, -1.7061, -1.5499, -1.1311,-1.9644,-2.0133,-2.1250,-1.8917 | -1.6656 |  8 hr 36 min 
 115  | -1.8643 | -1.6200 | -0.9382, -1.7070, -1.5489, -1.1351,-1.9617,-2.0099,-2.1314,-1.8898 | -1.6653 |  8 hr 41 min 
 116  | -1.8650 | -1.6248 | -0.9531, -1.7059, -1.5488, -1.1313,-1.9590,-2.0137,-2.1279,-1.8934 | -1.6666 |  8 hr 45 min 
 117  | -1.8653 | -1.6151 | -0.9301, -1.7060, -1.5475, -1.1189,-1.9581,-2.0102,-2.1176,-1.8885 | -1.6596 |  8 hr 50 min 
 118  | -1.8645 | -1.6244 | -0.9477, -1.7093, -1.5504, -1.1371,-1.9637,-2.0141,-2.1225,-1.8981 | -1.6679 |  8 hr 54 min 
 119  | -1.8650 | -1.6194 | -0.9334, -1.7064, -1.5500, -1.1376,-1.9611,-2.0112,-2.1272,-1.8978 | -1.6656 |  8 hr 59 min 
 120  | -1.8653 | -1.6215 | -0.9433, -1.7053, -1.5492, -1.1328,-1.9593,-2.0114,-2.1315,-1.8925 | -1.6657 |  9 hr 03 min 
 121  | -1.8655 | -1.6220 | -0.9456, -1.7053, -1.5490, -1.0998,-1.9617,-2.0094,-2.1225,-1.8961 | -1.6612 |  9 hr 08 min 
 122  | -1.8666 | -1.6222 | -0.9420, -1.7065, -1.5494, -1.1390,-1.9615,-2.0110,-2.1290,-1.8978 | -1.6670 |  9 hr 12 min 
 123  | -1.8662 | -1.6106 | -0.9179, -1.7047, -1.5467, -1.0774,-1.9621,-2.0090,-2.1279,-1.8820 | -1.6535 |  9 hr 16 min 
 124  | -1.8663 | -1.6225 | -0.9467, -1.7054, -1.5499, -1.1260,-1.9600,-2.0129,-2.1237,-1.8926 | -1.6646 |  9 hr 21 min 
 125  | -1.8660 | -1.6200 | -0.9401, -1.7047, -1.5475, -1.1293,-1.9645,-2.0097,-2.1291,-1.8942 | -1.6649 |  9 hr 25 min 
 126  | -1.8662 | -1.6228 | -0.9432, -1.7084, -1.5505, -1.1223,-1.9616,-2.0141,-2.1219,-1.8975 | -1.6649 |  9 hr 30 min 
 127  | -1.8665 | -1.6212 | -0.9389, -1.7076, -1.5495, -1.1294,-1.9565,-2.0139,-2.1310,-1.8978 | -1.6655 |  9 hr 34 min 
 128  | -1.8667 | -1.6235 | -0.9470, -1.7077, -1.5484, -1.1154,-1.9578,-2.0138,-2.1334,-1.8998 | -1.6654 |  9 hr 39 min 
 129  | -1.8680 | -1.6163 | -0.9246, -1.7083, -1.5517, -1.1224,-1.9624,-2.0116,-2.1221,-1.8937 | -1.6621 |  9 hr 43 min 
 130  | -1.8676 | -1.6205 | -0.9486, -1.7046, -1.5483, -1.1318,-1.9618,-2.0094,-2.0967,-1.8897 | -1.6614 |  9 hr 47 min 
 131  | -1.8680 | -1.6253 | -0.9490, -1.7084, -1.5514, -1.1360,-1.9620,-2.0162,-2.1229,-1.8980 | -1.6680 |  9 hr 52 min 
 132  | -1.8680 | -1.6182 | -0.9311, -1.7075, -1.5506, -1.0978,-1.9605,-2.0126,-2.1294,-1.8899 | -1.6599 |  9 hr 56 min 
